"0","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_000","哦，這不是在<hex:020821E0E80202FF0DE6B0B4E699B6E8A19DE7AA81FF0DE7BEA4E78BBCE79B9BE5AEB403>中位居前列的參與者嗎！<hex:02100103>請立刻收下這只有取得好成績的人才能獲得的排名獎勵吧！"
"1","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_001","<hex:020866E0E80202FF34E78FBEE59CA8E6ADA3E59CA8E88889E8BEA6E6B0B4E699B6E8A19DE7AA81E79A84E7ACAC022003E80203E8B3BDE5ADA3E38082FF2BE78FBEE59CA8E698AFE6B0B4E699B6E8A19DE7AA81E79A84E5ADA3E5898DE8B3BDE69C9FE99693E3808203><hex:02100103><hex:02086FE0E80302FF34E59CA8E98099E8A3A1E58FAFE4BBA5E9A098E58F96E5898DE4B880E8B3BDE5ADA3E79A84E8B3BDE5ADA3E78D8EE58BB5E38082FF34E59BA0E4B98BE5898DE698AFE5ADA3E5898DE8B3BDEFBC8CE6B292E69C89E58FAFE9A098E58F96E79A84E78D8EE58BB5E3808203><hex:02100103>如果關於獎勵有不明白的地方也可以問我。"
"2","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_Q1_000_1","有什麼事？"
"3","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_1","領取排名獎勵"
"4","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_2","彙報到達的段位"
"5","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_3","領取段位獎勵（固定隊）"
"6","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_4","詢問有關獎勵的事情"
"7","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_5","取消"
"8","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_Q2_000_1","想瞭解什麼？"
"9","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_1","什麼是獎勵"
"10","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_2","關於排名獎勵和交換期限"
"11","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_3","關於段位獎勵和交換期限"
"12","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_4","取消"
"13","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_110","恭喜你！！<hex:02100103>請立刻收下這只有摘得桂冠的人才能獲得的排名獎勵吧！"
"14","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_111","能夠取得如此戰果，想必一定很辛苦吧。<hex:02100103>請在新的賽季也繼續死守寶座！！"
"15","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_112","恭喜你！！<hex:02100103>距離霸者之位近在咫尺的勇猛之士，請收下這份獎勵。<hex:02100103>請在新的賽季中力爭奪下霸者的寶座！"
"16","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_113","恭喜你！！<hex:02100103>你在上一賽季中表現得十分活躍，請收下這份獎勵。<hex:02100103>請在新的賽季中努力取得更好的成績！"
"17","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_010","恭喜你！！<hex:02100103>請收下這只有在盛宴中獨佔鰲頭的霸者才能獲得的獎勵！"
"18","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_011","（★未使用／削除予定★）"
"19","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_012","恭喜你！！<hex:02100103>距離霸者之位僅一步之遙的勇猛之士，請收下這份獎勵。"
"20","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_013","恭喜你！！<hex:02100103>你在上一賽季中表現得十分活躍，請收下這份獎勵。"
"21","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_020","恭喜你到達了青銅段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！"
"22","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_021","恭喜你到達了白銀段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！"
"23","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_022","恭喜你到達了黃金段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！"
"24","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_023","恭喜你到達了白金段位！<hex:02100103>以你現在的狀態，相信在新的賽季衝擊更高段位也絕非難事！"
"25","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_024","恭喜你到達了鑽石段位！<hex:02100103>請繼續努力，在新的賽季也取得同樣的好成績……<hex:02100103>不，請向最高的水晶段位發出衝擊！"
"26","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_025","恭喜你到達了水晶段位！<hex:02100103>期待你在新的賽季也能有同樣精彩的表現！"
"27","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_026","你在上一賽季中並未進行段位賽，<hex:02100103>或是在上一賽季中並未達到至少青銅段位。<hex:02100103>所以很遺憾，沒有能給你的獎勵。"
"28","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_030","根據成績統計方法的不同，<hex:02100103>我們準備了「排名獎勵」和「段位獎勵」這兩種獎勵。"
"29","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_031","所謂排名獎勵，<hex:02100103>是授予在排名中位居前列的參與者的特別獎勵。"
"30","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_032","在賽季結束時，會對每個資料中心的資料進行統計，<hex:02100103>排名靠前的參與者可以獲得該獎勵。"
"31","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_033","可獲得排名獎勵的參加者會收到附帶證書的莫古郵件。<hex:02100103>將這作為證明的道具交給賽季獎勵發放員就可以獲得獎勵和稱號。"
"32","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_034","另外，排名獎勵沒有領取期限。<hex:02100103>因背包已滿等原因無法領取的情況下，<hex:02100103>請在整頓完畢、滿足條件後再次領取。"
"33","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_033","（★未使用／削除予定★）"
"34","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_034","（★未使用／削除予定★）"
"35","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_035","（★未使用／削除予定★）"
"36","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_036","賽季結束後，達到了青銅及以上段位的參加者<hex:02100103>可以透過彙報到達的段位來獲得獎勵。<hex:02100103>獎勵的內容隨段位不同而不同。"
"37","TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_037","未參加水晶衝突段位賽<hex:02100103>或是在賽季結束時未能達到青銅等級的參加者<hex:02100103>是不能獲得段位獎勵的。"
