"0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","5","8","1","0","7500","100","0","1","巡邏城內","命令隊員在<hex:020938E802FF15E588A9E5A786E896A9C2B7E7BE85E6958FE896A9FF10E6A0BCE9878CE98194E5B0BCE4BA9EFF0DE7838FE788BEE98194E5938803>城內定期巡邏。巡邏指定地點，確保城內安全。","0","0","0","0","0","0","0","0","0","0","0","0","145","145","145","145","145","145","20","20","20","20","20","20","140","140","140","140","140","140","20","20","20","20","20","20","140","140","140","140","140","140","20","20","20","20","20","20","20","20","20","20","20","20"
"2","8","0","1","500","7500","20","0","1","向附近據點傳令","命令隊員到<hex:020933E802FF10E5BEB7E585A7E7B6ADE788BEE9979CFF10E783A4E9A485E7B7B4E585B5E68980FF0DE69292E6BA9DE58EB2E9979C03>傳令。將軍方檔案交給該地駐紮部隊。","0","0","0","0","0","0","0","0","0","0","0","0","165","165","165","150","160","150","20","20","20","20","20","20","160","160","170","170","150","160","20","20","20","20","20","20","160","160","150","165","175","175","20","20","20","20","20","20","20","20","20","20","20","20"
"3","8","0","1","500","9000","20","0","1","巡邏城市周邊道路","命令隊員在<hex:02093CE802FF10E4B8ADE68B89E8ABBEE8A5BFE4BA9EFF19E9BB91E8A1A3E6A3AEE69E97E4B8ADE5A4AEE69E97E58D80FF0DE4B8ADE896A9E7B48DE898AD03>的主要道路巡邏。發現威脅市民、旅行者、商隊安全的魔物後立即消滅。","0","0","0","0","0","0","0","0","0","0","0","0","245","245","150","195","155","195","20","20","20","20","20","20","155","200","255","255","195","155","20","20","20","20","20","20","200","155","195","150","250","250","20","20","20","20","20","20","20","20","20","20","20","20"
"4","8","0","5","500","10500","20","0","1","偵察蠻族部隊","有情報傳來稱在<hex:020975E802FF28E68B89E8ABBEE8A5BFE4BA9EE4BD8EE59CB0E79BAEE6938AE588B0E4BA86E59CB0E99D88E6978FFF22E58D97E983A8E69E97E58D80E79BAEE6938AE588B0E4BA86E9B3A5E4BABAE6978FFF25E4B8ADE896A9E7B48DE898ADE79BAEE6938AE588B0E4BA86E89CA5E89CB4E4BABAE6978F03>。立即前往現場，偵察敵人動向後報告。","0","0","0","0","0","0","0","0","0","0","0","0","150","195","155","245","245","195","20","20","20","20","20","20","255","155","195","200","155","255","20","20","20","20","20","20","195","250","250","155","200","150","20","20","20","20","20","20","20","20","20","20","20","20"
"5","8","0","10","500","12000","20","0","1","護衛補給部隊","命令隊員保護前往<hex:020936E802FF10E9AAB7E9AB8FE8B0B7E7879FE59CB0FF13E998BFE9A6ACE9878CE8B3BDE593A8E5A194FF0DE69EAFE9AAA8E7879FE59CB003>的補給部隊。任何時刻都不要放鬆警惕，確保補給部隊的安全。","0","0","0","0","0","0","0","0","0","0","0","0","210","125","305","305","210","115","20","20","20","20","20","20","125","210","210","130","320","320","20","20","20","20","20","20","310","310","130","210","115","210","20","20","20","20","20","20","20","20","20","20","20","20"
"6","8","0","15","500","13500","20","0","1","驅除魔物","<hex:02093CE802FF10E4B8ADE68B89E8ABBEE8A5BFE4BA9EFF19E9BB91E8A1A3E6A3AEE69E97E4B8ADE5A4AEE69E97E58D80FF0DE4B8ADE896A9E7B48DE898AD03>的居民發來了驅除<hex:020921E802FF0DE58FA4E88FA9E78CA9E78CA9FF07E6A8B9E7B2BEFF07E5B7A8E9BE9C03>的請求。為防止損害擴大，立即前往現場阻止魔物。","14945","14945","14945","14945","14945","14945","1","1","1","1","1","1","140","225","320","320","130","225","20","20","20","20","20","20","225","140","145","225","335","335","20","20","20","20","20","20","325","325","225","145","225","130","20","20","20","20","20","20","20","20","20","20","20","20"
"7","10","12","20","2000","21000","0","0","1","重要任務：消滅低階妖異","有目擊情報稱，在<hex:02092AE802FF0AE8BC95E881B2E8B0B7FF0DE6B283E980A3E789A2E78D84FF0DE8B190E9A592E7A59EE4BA9503>發現低階妖異。放置不管的話，可能會給當地居民帶來災害。立即前往現場，將所有妖異消滅。","15772","15772","15772","15772","15772","15772","1","1","1","1","1","1","225","225","225","225","225","225","0","0","0","0","0","0","205","205","205","205","205","205","0","0","0","0","0","0","230","230","230","230","230","230","0","0","0","0","0","0","100","100","100","100","100","100"
"8","12","0","20","1000","15000","20","0","2","支援前線部隊","<hex:020939E802FF10E9AAB7E9AB8FE8B0B7E7879FE59CB0FF13E6AD90E98791E5B0BCE5A9ADE593A8E5A194FF10E5B08FE998BFE68B89E7B1B3E6A0BC03>的駐紮部隊發來支援請求。立即前往現場，支援當地部隊迎擊<hex:020927E802FF0AE59CB0E99D88E6978FFF0AE9B3A5E4BABAE6978FFF0DE89CA5E89CB4E4BABAE6978F03>。","0","0","0","0","0","0","0","0","0","0","0","0","265","410","265","140","410","125","20","20","20","20","20","20","140","145","435","265","270","435","20","20","20","20","20","20","420","270","125","420","145","265","20","20","20","20","20","20","20","20","20","20","20","20"
"9","12","0","20","1000","16500","20","0","2","護衛同盟軍軍官","<hex:020924E802FF0AE99B99E89B87E9BBA8FF0AE68186E8BC9DE99A8AFF0AE9BB91E6B8A6E59C9803>的軍官將來我城進行重要訪問。前往飛艇坪迎接，並在訪問期間做好萬全的接待和護衛。","0","0","0","0","0","0","0","0","0","0","0","0","270","130","270","145","415","415","20","20","20","20","20","20","440","440","145","270","275","150","20","20","20","20","20","20","130","270","425","425","150","275","20","20","20","20","20","20","20","20","20","20","20","20"
