"42000","釕金巨劍","0","","0","0","1","0","0","","釕金巨劍","34009","655","1","1","0","87","76","13","5","5320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8762","False","False","0","92","0","1","98","0","0","1","1501, 111, 1, 0","0, 0, 0, 0","32","1","117","58","2960","3","0","0","0","0","1","359","3","398","44","270","27","189","0","0","0","0","1","0","12","13","13","7","1","40","3","44","44","30","27","21","3","2","True","False","0","True"
"42001","釕金火槍","0","","0","0","1","0","0","","釕金火槍","34502","655","1","1","0","88","77","13","5","27320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8763","False","False","0","92","0","1","96","0","0","4","2001, 90, 1, 0","2099, 1, 1, 0","31","2","117","58","2640","25","0","0","0","0","2","359","3","398","45","270","44","189","0","0","0","0","1","0","12","13","13","7","2","40","3","44","45","30","44","21","6","2","True","False","0","True"
"42002","釕金黃道儀","0","","0","0","1","0","0","","釕金黃道儀","34701","655","1","2","0","89","78","13","5","44320","1","False","False","False","False","51786","709","True","2","False","0","2","0","11","8","21800","8764","False","False","0","92","0","1","99","0","0","6","2101, 88, 1, 0","2199, 1, 163, 0","33","1","117","117","3200","3","0","0","0","0","5","359","3","358","6","270","46","189","0","0","0","0","1","0","12","13","13","13","5","40","3","40","6","30","46","21","9","2","True","False","0","True"
"42003","釕金武士刀","0","","0","0","1","0","0","","釕金武士刀","36556","655","1","1","0","96","83","13","5","17320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8765","False","False","0","92","0","1","111","0","0","3","2201, 74, 1, 0","2251, 90, 1, 0","34","1","117","58","2640","3","0","0","0","0","1","359","3","398","27","270","22","189","0","0","0","0","1","0","12","13","13","7","1","40","3","44","27","30","22","21","5","2","True","False","0","True"
"42004","釕金刺劍","0","","0","0","1","0","0","","釕金刺劍","36856","655","1","2","0","97","84","13","5","37320","1","False","False","False","False","51786","709","True","2","False","0","2","0","11","8","21800","8766","False","False","0","92","0","1","112","0","0","5","2301, 84, 1, 0","2351, 70, 1, 0","35","2","117","117","3440","3","0","0","0","0","4","359","3","358","22","270","44","189","0","0","0","0","1","0","12","13","13","13","4","40","3","40","22","30","44","21","8","2","True","False","0","True"
"42005","釕金槍刃","0","","0","0","1","0","0","","釕金槍刃","36099","655","1","1","0","106","86","13","5","6320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8767","False","False","0","92","0","1","149","0","0","1","2501, 52, 1, 0","0, 0, 0, 0","37","1","117","58","2800","3","0","0","0","0","1","359","3","398","44","270","45","189","0","0","0","0","1","0","12","13","13","7","1","40","3","44","44","30","45","21","3","2","True","False","0","True"
"42006","釕金摺扇","0","","0","0","1","0","0","","釕金摺扇","36297","655","1","1","0","107","87","13","5","28320","1","False","False","False","False","51786","709","True","2","False","0","2","0","11","8","21800","8768","False","False","0","92","0","1","150","0","0","4","2601, 47, 1, 0","2651, 47, 1, 0","38","2","117","58","3120","25","0","0","0","0","2","359","3","398","27","270","22","189","0","0","0","0","1","0","12","13","13","7","2","40","3","44","27","30","22","21","6","2","True","False","0","True"
"42007","釕金戰鐮","0","","0","0","1","0","0","","釕金戰鐮","37267","655","1","1","0","108","88","13","5","11320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8769","False","False","0","92","0","1","180","0","0","2","2802, 17, 1, 0","0, 0, 0, 0","39","1","117","58","3200","3","0","0","0","0","1","359","3","398","44","270","27","189","0","0","0","0","1","0","12","13","13","7","1","40","3","44","44","30","27","21","4","2","True","False","0","True"
"42008","木棉木飛翼","0","","0","0","1","0","0","","木棉木飛翼","37064","655","1","2","0","109","89","13","5","45320","1","False","False","False","False","51786","709","True","2","False","0","2","0","8","8","21800","8770","False","False","0","92","0","1","181","0","0","6","2701, 12, 1, 0","0, 0, 0, 0","40","3","117","117","2800","3","0","0","0","0","5","359","3","358","44","270","27","189","0","0","0","0","1","0","12","13","13","13","5","40","3","40","44","30","27","21","9","2","True","False","0","True"
"42009","釕金雙牙","0","","0","0","1","0","0","","釕金雙牙","37417","655","1","1","0","110","91","13","5","22320","1","False","False","False","False","51786","709","True","2","False","0","2","0","9","8","21800","8771","False","False","0","92","0","1","196","0","0","11","3101, 18, 1, 0","3151, 18, 1, 0","41","1","117","58","2640","3","0","0","0","0","2","359","3","398","45","270","44","189","0","0","0","0","1","0","12","13","13","7","2","40","3","44","45","30","44","21","6","2","True","False","0","True"
"42010","木棉木圓筆","0","","0","0","1","0","0","","木棉木圓筆","37622","655","1","2","0","111","92","13","5","38320","1","False","False","False","False","51786","709","True","2","False","0","2","0","14","8","21800","8772","False","False","0","92","0","1","197","0","0","5","2901, 8, 1, 0","2951, 9, 1, 0","42","3","117","117","2960","3","0","0","0","0","4","359","3","358","44","270","27","189","0","0","0","0","1","0","12","13","13","13","4","40","3","40","44","30","27","21","8","2","True","False","0","True"
"42011","釕金鳶盾","0","","0","0","1","0","0","","釕金鳶盾","30268","655","1","3","0","11","17","2","5","2320","1","False","False","False","False","17262","237","True","2","True","0","2","0","10","8","21800","8773","False","False","0","92","0","1","38","0","0","1","101, 110, 1, 0","0, 0, 0, 0","0","0","0","0","0","0","1140","1140","0","0","1","102","3","114","45","77","19","54","0","0","0","0","1","0","17","127","18","127","1","12","3","12","45","9","19","6","3","0","False","False","0","True"
"42012","河岸石禦敵頭冠","0","","0","0","1","0","0","","河岸石禦敵頭冠","56734","655","1","4","0","34","31","3","5","8320","1","False","False","False","False","28483","390","True","2","False","0","2","0","11","8","21800","8774","False","False","0","92","0","1","59","0","0","1","802, 3, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","794","794","1","218","3","241","45","164","44","114","0","0","0","0","1","0","21","88","24","88","1","24","3","27","45","18","44","13","3","2","True","False","0","True"
"42013","釕金禦敵兜甲","0","","0","0","1","0","0","","釕金禦敵兜甲","57125","655","1","4","0","35","33","4","5","8320","1","False","False","False","False","47471","650","True","2","True","0","2","0","10","8","21800","8775","False","False","0","92","0","1","59","0","0","1","802, 3, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1065","1065","1","346","3","383","44","260","19","182","0","0","0","0","1","0","21","118","24","118","1","38","3","43","44","29","19","20","3","2","True","False","0","True"
"42014","釕金禦敵臂甲","0","","0","0","1","0","0","","釕金禦敵臂甲","56247","655","1","4","0","37","36","5","5","8320","1","False","False","False","False","28483","390","True","2","False","0","2","0","10","8","21800","8776","False","False","0","92","0","1","59","0","0","1","802, 3, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","794","794","1","218","3","241","19","164","27","114","0","0","0","0","1","0","21","88","24","88","1","24","3","27","19","18","27","13","3","2","True","False","0","True"
