"0","0","0","0","False",""
"1","0","0","0","False",""
"2","0","0","0","False",""
"3","0","0","0","False",""
"4","0","0","0","False",""
"5","1","0","0","True",""
"6","1","0","0","True",""
"7","1","0","0","True",""
"8","1","0","0","True",""
"9","1","0","0","True",""
"10","1","0","0","True",""
"11","1","0","0","True",""
"12","2","1","1","True","<hex:020968E802FF2BE784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4B880E6ACA1E695B4E58299E8A888E58A83FF38E7ACAC31E99A8EE6AEB5E38080E784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4B880E6ACA1E695B4E58299E8A888E58A8303>"
"13","2","1","2","False","<hex:020956E802FF22E8AB8BE4BE86E58F83E58AA0E881AFE59088E9878DE5BBBAE5B7A5E7A88BEFBC81FF2FE7ACAC32E99A8EE6AEB5E38080E8AB8BE4BE86E58F83E58AA0E881AFE59088E9878DE5BBBAE5B7A5E7A88BEFBC8103>"
"14","2","4","3","True","<hex:020968E802FF2BE784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4BA8CE6ACA1E695B4E58299E8A888E58A83FF38E7ACAC33E99A8EE6AEB5E38080E784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4BA8CE6ACA1E695B4E58299E8A888E58A8303>"
"15","2","4","4","False","<hex:020956E802FF22E5868DE6ACA1E58F83E58AA0E881AFE59088E9878DE5BBBAE5B7A5E7A88BEFBC81FF2FE7ACAC34E99A8EE6AEB5E38080E5868DE6ACA1E58F83E58AA0E881AFE59088E9878DE5BBBAE5B7A5E7A88BEFBC8103>"
"16","2","7","5","True","<hex:020968E802FF2BE784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4B889E6ACA1E695B4E58299E8A888E58A83FF38E7ACAC35E99A8EE6AEB5E38080E784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE7ACACE4B889E6ACA1E695B4E58299E8A888E58A8303>"
"17","2","7","6","False","<hex:020956E802FF22E8AB8BE58D94E58AA9E88E89E88CB2E8B29DE7B5B2E79A84E8A888E58A83EFBC81FF2FE7ACAC36E99A8EE6AEB5E38080E8AB8BE58D94E58AA9E88E89E88CB2E8B29DE7B5B2E79A84E8A888E58A83EFBC8103>"
"18","2","10","7","True","<hex:020956E802FF22E784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE695B4E58299E5AE8CE68890FF2FE7ACAC37E99A8EE6AEB5E38080E784A1E5908DE79CBEE4BABAE5BBA3E5A0B4EFBC9AE695B4E58299E5AE8CE6889003>"
"19","3","1","2","True","關於繳納製品"
"20","3","1","3","True","關於聯合重建工程"
"21","3","1","1","True","什麼是「重建伊修加爾德」"
"22","1","0","0","True",""
"23","1","0","0","True",""
"24","1","0","0","True",""
"25","1","0","0","True",""
"26","2","11","1","True","<hex:02094AE802FF1CE58D81E5AD97E98EACE5A4A7E8A197E695B4E58299E8A888E58A83FF29E7ACAC31E99A8EE6AEB5E38080E58D81E5AD97E98EACE5A4A7E8A197E695B4E58299E8A888E58A8303>"
"27","2","11","2","False","<hex:020962E802FF28E9878DE5BBBAE5B7A5E7A88BE98281E587BAE4BA86E5B684E696B0E79A84E4B880E6ADA5EFBC81FF35E7ACAC32E99A8EE6AEB5E38080E9878DE5BBBAE5B7A5E7A88BE98281E587BAE4BA86E5B684E696B0E79A84E4B880E6ADA5EFBC8103>"
"28","2","14","3","False","<hex:020980E802FF37E58D81E5AD97E98EACE5A4A7E8A197E79A84E881AFE59088E9878DE5BBBAE5B7A5E7A88BE6ADA3E59CA8E980B2E8A18CE4B8ADEFBC81FF44E7ACAC33E99A8EE6AEB5E38080E58D81E5AD97E98EACE5A4A7E8A197E79A84E881AFE59088E9878DE5BBBAE5B7A5E7A88BE6ADA3E59CA8E980B2E8A18CE4B8ADEFBC8103>"
"29","2","16","4","False","<hex:02097AE802FF34E68B9CE8A897E59084E4BD8DE5B7A5E58CA0E5B08DE58D81E5AD97E98EACE5A4A7E8A197E980B2E8A18CE695B4E58299EFBC81FF41E7ACAC34E99A8EE6AEB5E38080E68B9CE8A897E59084E4BD8DE5B7A5E58CA0E5B08DE58D81E5AD97E98EACE5A4A7E8A197E980B2E8A18CE695B4E58299EFBC8103>"
